Country,City,Temperature,Humidity,Condition
Global Hub,Accra,,N/A,84 °F
Global Hub,Addis Ababa,,N/A,63 °F
Global Hub,Adelaide,,N/A,58 °F
Global Hub,Algiers,,N/A,75 °F
Global Hub,Almaty,,N/A,66 °F
Global Hub,Amman,,N/A,66 °F
Global Hub,Amsterdam *,,N/A,64 °F
Global Hub,Anadyr,,N/A,34 °F
Global Hub,Anchorage *,,N/A,50 °F
Global Hub,Ankara,,N/A,50 °F
Global Hub,Antananarivo,,N/A,61 °F
Global Hub,Asuncion,,N/A,64 °F
Global Hub,Athens *,,N/A,81 °F
Global Hub,Atlanta *,,N/A,83 °F
Global Hub,Auckland,,N/A,50 °F
Global Hub,Bangkok,,N/A,84 °F
Global Hub,Barcelona *,,N/A,75 °F
Global Hub,Beijing,,N/A,77 °F
Global Hub,Beirut *,,N/A,81 °F
Global Hub,Belgrade *,,N/A,66 °F
Global Hub,Bengaluru,,N/A,70 °F
Global Hub,Berlin *,,N/A,79 °F
Global Hub,Bogota,,N/A,66 °F
Global Hub,Boston *,,N/A,62 °F
Global Hub,Brasilia,,N/A,77 °F
Global Hub,Brisbane,,N/A,61 °F
Global Hub,Brussels *,,N/A,77 °F
Global Hub,Bucharest *,,N/A,66 °F
Global Hub,Budapest *,,N/A,72 °F
Global Hub,Buenos Aires,,N/A,57 °F
Global Hub,Cairo *,,N/A,82 °F
Global Hub,Calgary *,,N/A,75 °F
Global Hub,Canberra,,N/A,45 °F
Global Hub,Cape Town,,N/A,59 °F
Global Hub,Caracas,,N/A,86 °F
Global Hub,Casablanca *,,N/A,70 °F
Global Hub,Chicago *,,N/A,80 °F
Global Hub,Copenhagen *,,N/A,63 °F
Global Hub,Dallas *,,N/A,88 °F
Global Hub,Dar es Salaam,,N/A,77 °F
Global Hub,Darwin,,N/A,66 °F
Global Hub,Denver *,,N/A,77 °F
Global Hub,Detroit *,,N/A,76 °F
Global Hub,Dhaka,,N/A,80 °F
Global Hub,Doha,,N/A,91 °F
Global Hub,Dubai,,N/A,93 °F
Global Hub,Dublin *,,N/A,70 °F
